Type,Name,Net Payment This Period,Comparable Payment Prior Year,Period Percent Change,Payment Year to Date,Prior Year Payment Year to Date,Year Percent Change,Report Period,Report Year,Report Period Type
COUNTY,Brazoria,$166840.71,$142681.57,16.93%,$318037.03,$262799.09,21.02%,2,2015,"QUARTERLY"""
CITY,Big Sandy,$1963.63,$1177.74,66.73%,$1963.63,$1177.74,66.73%,1,2015,"QUARTERLY"""
CITY,Tomball,$16886.77,$15066.12,12.08%,$16886.77,$15066.12,12.08%,1,2015,"QUARTERLY"""
CITY,Henderson,$2363.46,$2762.23,-14.44%,$4499.51,$5202.05,-13.51%,2,2013,"QUARTERLY"""
CITY,San Marcos,$101355.34,$72661.98,39.49%,$184673.81,$137792.70,34.02%,2,2014,"QUARTERLY"""
CITY,Avinger,$229.92,$0.00,0%,$590.19,$0.00,0%,3,2014,"QUARTERLY"""
CITY,Childress,$1311.68,$1696.54,-22.68%,$2689.74,$2921.56,-7.93%,2,2015,"QUARTERLY"""
CITY,Clifton,$126.04,$89.80,40.36%,$387.38,$378.30,2.4%,4,2013,"QUARTERLY"""
COUNTY,Trinity,$1162.29,$1031.69,12.66%,$1162.29,$1031.69,12.66%,1,2016,"QUARTERLY"""
CITY,Kilgore,$5457.91,$6306.34,-13.45%,$10999.10,$12130.79,-9.33%,2,2016,"QUARTERLY"""
CITY,Kilgore,$5457.91,$6306.34,-13.45%,$10999.10,$12130.79,-9.33%,2,2016,"QUARTERLY"""
CITY,Borger,$3914.65,$11733.78,-66.64%,$12162.88,$16851.57,-27.82%,3,2014,"QUARTERLY"""
CITY,Allen,$68811.23,$55873.65,23.16%,$68811.23,$55873.65,23.16%,1,2013,"QUARTERLY"""
COUNTY,Montgomery,$450239.13,$310112.61,45.19%,$450239.13,$310112.61,45.19%,1,2014,"QUARTERLY"""
CITY,Vidor,$1293.87,$1499.96,-13.74%,$1293.87,$1499.96,-13.74%,1,2016,"QUARTERLY"""
CITY,Village Of The Hills,$1629.00,$832.97,95.57%,$3399.86,$1795.46,89.36%,2,2013,"QUARTERLY"""
CITY,Bee Cave,$29646.86,$21711.35,36.55%,$78667.86,$62580.47,25.71%,3,2015,"QUARTERLY"""
COUNTY,Bailey,$535.98,$441.74,21.33%,$1125.43,$1017.69,10.59%,3,2015,"QUARTERLY"""
COUNTY,Potter,$103287.09,$100843.68,2.42%,$203643.37,$196807.79,3.47%,2,2013,"QUARTERLY"""
COUNTY,Jack,$494.66,$556.68,-11.14%,$2606.43,$2026.52,28.62%,4,2014,"QUARTERLY"""
CITY,Palestine,$8552.86,$6486.13,31.86%,$15842.38,$11981.32,32.23%,2,2014,"QUARTERLY"""
CITY,Onalaska,$2709.79,$2650.89,2.22%,$13244.82,$9927.34,33.42%,4,2013,"QUARTERLY"""
CITY,Sun Valley,$0.00,$599.89,-100%,$65.34,$1219.47,-94.64%,2,2014,"QUARTERLY"""
CITY,Cross Roads,$1538.88,$457.26,236.54%,$3213.51,$1837.33,74.9%,4,2013,"QUARTERLY"""
COUNTY,Orange,$16349.04,$14598.47,11.99%,$31141.42,$27606.69,12.8%,2,2015,"QUARTERLY"""
CITY,Santa Fe,$2749.29,$4008.95,-31.42%,$9299.81,$8336.99,11.55%,3,2014,"QUARTERLY"""
CITY,Decordova,$755.32,$751.31,0.53%,$755.32,$751.31,0.53%,1,2013,"QUARTERLY"""
CITY,Dalworthington Gardens,$1448.36,$1139.08,27.15%,$1448.36,$1139.08,27.15%,1,2015,"QUARTERLY"""
COUNTY,Real,$158.06,$435.47,-63.7%,$759.75,$1918.67,-60.4%,4,2015,"QUARTERLY"""
